,t_dat,customer_id,article_id,price,sales_channel_id
31198,2018-09-20,a301a140b47463f6daf3d9ca358729889e407581b02ce98ce05771d1028d75a3,652211001,0.0677796610169491,2
31199,2018-09-20,a301a140b47463f6daf3d9ca358729889e407581b02ce98ce05771d1028d75a3,654921001,0.0508305084745762,2
137847,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682189001,0.1677966101694915,2
137848,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682189001,0.1677966101694915,2
137849,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682189001,0.1677966101694915,2
137850,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682189001,0.1677966101694915,2
137851,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,691989002,0.0677796610169491,2
137852,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,691989002,0.0677796610169491,2
137853,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,691989002,0.0677796610169491,2
137854,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682204001,0.2186440677966101,2
137855,2018-09-23,75fc82adc34ca28f221c72375d60e6ca3ec19c04218b573dfcaba34aa0a7c26f,682204001,0.2186440677966101,2
177644,2018-09-24,3f4a2d04325fd416c05b4ac398761513532f0b868c1694cfc944182e2010c365,399136009,0.084728813559322,2
177645,2018-09-24,3f4a2d04325fd416c05b4ac398761513532f0b868c1694cfc944182e2010c365,669363001,0.0593050847457627,2
177646,2018-09-24,3f4a2d04325fd416c05b4ac398761513532f0b868c1694cfc944182e2010c365,399136023,0.0423559322033898,2
177647,2018-09-24,3f4a2d04325fd416c05b4ac398761513532f0b868c1694cfc944182e2010c365,701129002,0.0254067796610169,2
177648,2018-09-24,3f4a2d04325fd416c05b4ac398761513532f0b868c1694cfc944182e2010c365,611062002,0.0118474576271186,2
231597,2018-09-25,74707f084fbf188861afcd47acc08cb7ae825d2e0085ce433c6e47ecf85aee31,670645002,0.1525254237288135,2
237195,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,662857004,0.0423559322033898,2
237196,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,687535001,0.0677796610169491,2
237197,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,568597009,0.0423559322033898,2
237198,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,687424003,0.0508305084745762,2
237199,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,504154027,0.0423559322033898,2
237200,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,501323011,0.0593050847457627,2
237201,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,649397001,0.0423559322033898,2
237202,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,609285002,0.0423559322033898,2
237203,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,502186011,0.0338813559322033,2
237204,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,598859001,0.0593050847457627,2
237205,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,538699001,0.008457627118644,2
237206,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,657395007,0.0338813559322033,2
237207,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,692454002,0.0254067796610169,2
237208,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,687424002,0.0508305084745762,2
237209,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,638657005,0.0508305084745762,2
237210,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,676954001,0.0508305084745762,2
237211,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,663396002,0.0508305084745762,2
237212,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,700828001,0.0508305084745762,2
237213,2018-09-25,9384a38143002fa0efc16ad5364e284822933e1eed3e2e6c0342ec00557a6736,662857005,0.0423559322033898,2
261080,2018-09-26,1c741bf19d85202008af86c479044e641c266c4f33bab0c35ffc9b702cebcd95,553092003,0.1016779661016949,1
261081,2018-09-26,1c741bf19d85202008af86c479044e641c266c4f33bab0c35ffc9b702cebcd95,499334001,0.0135423728813559,1
279631,2018-09-26,7e44362325dac8c042dbe990a20d5eb83bcc7332294bb48c1a1a10e82f422a83,651369002,0.0338813559322033,1
279632,2018-09-26,7e44362325dac8c042dbe990a20d5eb83bcc7332294bb48c1a1a10e82f422a83,520509001,0.020322033898305,2
279633,2018-09-26,7e44362325dac8c042dbe990a20d5eb83bcc7332294bb48c1a1a10e82f422a83,651368002,0.0338813559322033,1
282084,2018-09-26,8b63c5ded864f8650b926b61fb0e5a8e056e3ebb83e80be79388a121229944c9,469039019,0.0220169491525423,1
